household_id,survey_id,enumerator_id,village_id,district,age,gender,education,occupation,employment_status,income,hours_worked,household_size,interview_duration,survey_date
HH1001,S10001,,V1002,District A,51,M,Secondary,Farming,Employed,13011,45,4,45,2024-05-10
HH1002,S10002,,V1003,District A,21,M,Secondary,Farming,Employed,28864,34,4,45,2024-05-10
HH1003,S10003,,V1004,District A,45,M,Secondary,Farming,Employed,25890,42,4,45,2024-05-10
HH1004,S10004,,V1005,District A,29,M,Secondary,Farming,Employed,18903,42,4,45,2024-05-10
HH1005,S10005,,V1006,District A,31,M,Secondary,Farming,Employed,19373,39,4,45,2024-05-10
HH1006,S10006,,V1007,District A,43,M,Secondary,Farming,Employed,13729,39,4,45,2024-05-10
HH1007,S10007,,V1008,District A,42,M,Secondary,Farming,Employed,16929,48,4,45,2024-05-10
HH1008,S10008,,V1009,District A,26,M,Secondary,Farming,Employed,26352,40,4,45,2024-05-10
HH1009,S10009,,V1010,District A,55,M,Secondary,Farming,Employed,17795,40,4,45,2024-05-10
HH1010,S10010,,V1001,District A,56,M,Secondary,Farming,Employed,24639,44,4,45,2024-05-10
HH1011,S10011,,V1002,District A,29,M,Secondary,Farming,Employed,20345,46,4,45,2024-05-10
HH1012,S10012,,V1003,District A,53,M,Secondary,Farming,Employed,22714,40,4,45,2024-05-10
HH1013,S10013,,V1004,District A,26,M,Secondary,Farming,Employed,20999,37,4,45,2024-05-10
HH1014,S10014,,V1005,District A,59,M,Secondary,Farming,Employed,15376,33,4,45,2024-05-10
HH1015,S10015,,V1006,District A,50,M,Secondary,Farming,Employed,16833,32,4,45,2024-05-10
HH1016,S10016,,V1007,District A,25,M,Secondary,Farming,Employed,17780,49,4,45,2024-05-10
HH1017,S10017,,V1008,District A,35,M,Secondary,Farming,Employed,12145,47,4,45,2024-05-10
HH1018,S10018,,V1009,District A,41,M,Secondary,Farming,Employed,24005,49,4,45,2024-05-10
HH1019,S10019,,V1010,District A,20,M,Secondary,Farming,Employed,20610,43,4,45,2024-05-10
HH1020,S10020,,V1001,District A,52,M,Secondary,Farming,Employed,16804,49,4,45,2024-05-10
